termo_de_busca,titulo_produto,preco,link
cartucho compatível hp,Kit Cartuchos Hp 46 2 Pretos +1 Colorido Original Triplo,289.90,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=490FUL3m4kWIs8tIoCubV2uO%2Ft8JSq3SbVaHCiE0Oc2%2BS5dyAW3SOig86XBYa7UdCd88Y78ElY8WPhz7rSqlGFmy75Q1g5QuHHRAghrEhbSPopLWvpHsS4A%2F%2B8JsdIZi0Yy99UToub641KbL4BUcKw89y8EhqF2K7vFkQi%2FIN%2Bt9KD3SMwzfNFCuSjqIdSYqf%2BEBaMeq7YC94wG3%2B%2BCBlSWfvT7KdvMF4Z5jxiR%2FHR%2BxZhucjiBy8PFxG%2Fkn3gMOoi3fO84rgnvvJL69ltbH%2FZvankvPO20V71y6KlVpYbvfTrjrTJAghnRGBlZY70jgmJBrxTp5AGXHab7wBLqb1bEHU95N2Ns2AWGUGgiC5Jemo4FzdpvGdkzQ%2F767X4x%2BgwIvRAxkm5grBsDyeO2fUC0u7VcNrYZ00JdnYJbv9qOlUjn2WVfK5Z0gBf9KIzlw1m7cj27pErtefDFuHqn2Jh8ihw9hwpKfKyVm6R2QCdW%2FpjoxgN3dndQxCZRjXky9XEIxycKgaKpcefIjZBmRM78lVv4kH70HCr9%2Bh0TAjSTGJhQ%2BWOdArJIIUe7dS6tyYP%2B6%2BCZFnjE%2B8injFblpeeWDoO0V%2BeLXZPGgpAQ4bJOhdT0pu0Q4shoDZSW4hVaZAKYHcXNC1%2B8%2FSEUK79AbLYrdh8dWINMs9Qf903s4ZBAKgxclrm0DCGNNnhoq2IR8kyxHP1YxcpxN2rr0m3JxpmcXOo%2FzEpa9E3DwReYVRi9IFS1GFs6dVxXY3os06b8nopFjYeoQXECT2OURdV9ChE9Yhw%3D%3D\#polycard_client=search-nordic&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB3229062733&sid=search
cartucho compatível hp,Kit 2 Cartuchos Bk P/ Hp 670xl Advantage 3525 4615 4625 5525,43.81,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2B1vSfrV6a2hSYdPJpCNtD4Km6lzR07wcXYK1G0F3URobet6cQsw4%2FlkjsgqHTkcpcPDkgQtUtvXZLX2tBxOmsHEKFgdP4cc2gTF1OkOeoby6phuf%2BGTaXA2I3Drjsc8UCkn6O%2FLrxvT6mUZASri%2F1rlpZCv2Sf4coq5ERoV7IEkbONBH5btyBdnRm3H%2F6QcwSsVioW%2BRoujLBQpi7ge1T7iqmODKOx2nOMtFN%2BJ03rtvFu0Y%2FFVWGRBuTk507clx1mvBYVjAGiPkhR0yWmKZorRCaSHYgfrdtNswZIWbQ%2FPrbsXklAnr2xb1j17Sg5uuGdNs1mOTGFOHEIWpe%2FBEb4k2Qr5hMZpU86PUw4xjz9zBxawG2BkCwI%2F3lCIIoB0fY3hilU1dL895brvhDUqr%2BObl7hLKciZvyisAjM5tv7gHMsaplRcUyL5cqfQ2dJg2Gm6rzrX5ADtPrwbXesgIBDRf4t9C3%2BJV1hanw0uOAzqK%2FdQZJ9AJSADO1Ot%2FL4V6V6GGkfUupdrTY4IFNvtXl1T%2BnSjIBMV%2FEyev0B1Q6Pu2DBJlw15pb5%2BeCpludDx3nUsY9G2XThLefuKJcxNsshPUtZ5o9JXtstFnjncnrcsJcV6y%2Bnz7MTqYsrVj4K8b0sxqe8WnRjwf%2Fzm8%2FTdEw6BH4reopj1dliCZkI%2Bs1fEdYxrhYfcEH%2BehKDvhiyEcIeVcOqM3BeJBRp5PIWaX8rNlCC656aXTPOG6PpjnOn2v12g6%2Bkv7ipTcViH11NBD%2BIoiSqBegfjHvVEl26zR3T30rxxwwA%3D%3D\#polycard_client=search-nordic&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB2897300319&sid=search
cartucho compatível hp,Cartucho de Tinta HP 122 Preto,103.99,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-122-preto/p/MLB24113444\#polycard_client=search-nordic&searchVariation=MLB24113444&wid=MLB4678659844&position=9&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho HP 667 Preto 2376 2776 6476,78.97,https://www.mercadolivre.com.br/cartucho-hp-667-preto-2376-2776-6476/p/MLB22022306\#polycard_client=search-nordic&searchVariation=MLB22022306&wid=MLB5373347484&position=7&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Kit Hp 46 Preto + Colorido P/ 2529 4729 5738 5739,209.99,https://www.mercadolivre.com.br/kit-hp-46-preto-colorido-p-2529-4729-5738-5739/p/MLB43903911\#polycard_client=search-nordic&searchVariation=MLB43903911&wid=MLB5196183284&position=6&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho Compatível P/ Hp D1460 21 Xl Deskjet F4180 D2460 Bk,63.90,https://www.mercadolivre.com.br/cartucho-compativel-p-hp-d1460-21-xl-deskjet-f4180-d2460-bk/p/MLB37789831\#polycard_client=search-nordic&searchVariation=MLB37789831&wid=MLB3979010669&position=4&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Kit 2 cartuchos Preto e Colorido HP 662 para Impressoras 1516 2515 2516 3515 3516 2546 3546 4646,147.49,https://www.mercadolivre.com.br/kit-2-cartuchos-preto-e-colorido-hp-662-para-impressoras-1516-2515-2516-3515-3516-2546-3546-4646/p/MLB36794457\#polycard_client=search-nordic&searchVariation=MLB36794457&wid=MLB5247594054&position=5&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho 670 Bk Para Hp 670xl Advantage 3525 4615 4625 5525,19.92,https://produto.mercadolivre.com.br/MLB-3707092240-cartucho-670-bk-para-hp-670xl-advantage-3525-4615-4625-5525-_JM\#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB3707092240&sid=search
cartucho compatível hp,Cartucho De Tinta Hp Cz637al 46 Preto 2529 4729 5738 5739,103.56,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-cz637al-46-preto-2529-4729-5738-5739/p/MLB36750268\#polycard_client=search-nordic&searchVariation=MLB36750268&wid=MLB5217290958&position=8&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Kit Cartucho De Tinta Compativel Hp 60xl Black E Color,187.90,https://produto.mercadolivre.com.br/MLB-3495863961-kit-cartucho-de-tinta-compativel-hp-60xl-black-e-color-_JM\#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB3495863961&sid=search
cartucho compatível hp,Kit 4 Cartucho Compatível 670xl Advantag 3525 4615 4625 5525,41,https://www.mercadolivre.com.br/kit-4-cartucho-compativel-670xl-advantag-3525-4615-4625-5525/p/MLB24113448\#polycard_client=search-nordic&searchVariation=MLB24113448&wid=MLB4027358811&position=3&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
